,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,19,0,1,0,1,0,0
NV,7,107,5,0,1,2,1
BCC,0,0,13,1,0,1,0
AKIEC,0,1,0,6,1,0,0
BKL,5,0,1,0,15,1,0
DF,0,0,0,0,1,0,0
VASC,0,0,0,0,0,0,3
