,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,11,5,0,0,4,0,1
NV,2,119,1,0,1,0,0
BCC,0,0,12,3,0,0,0
AKIEC,1,1,2,3,1,0,0
BKL,2,2,0,2,16,0,0
DF,0,0,0,0,0,1,0
VASC,0,1,0,0,0,0,2
