,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,11,5,1,0,4,0,0
NV,1,113,2,0,6,0,1
BCC,0,1,10,2,1,0,1
AKIEC,0,1,3,3,1,0,0
BKL,1,3,1,0,16,1,0
DF,0,0,0,1,0,0,0
VASC,0,0,2,0,0,0,1
