,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,10,7,0,0,4,0,0
NV,0,118,0,0,5,0,0
BCC,1,1,7,4,1,0,1
AKIEC,1,1,0,1,5,0,0
BKL,5,8,0,1,8,0,0
DF,0,0,0,1,0,0,0
VASC,0,2,1,0,0,0,0
