,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,16,2,0,0,3,0,0
NV,2,112,4,0,3,2,0
BCC,0,0,10,2,1,2,0
AKIEC,0,0,0,6,2,0,0
BKL,2,1,1,0,18,0,0
DF,0,0,0,0,0,1,0
VASC,0,0,0,0,0,0,3
