,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,15,2,1,0,3,0,0
NV,2,117,2,0,2,0,0
BCC,0,1,13,0,0,1,0
AKIEC,0,1,1,4,2,0,0
BKL,0,1,2,2,17,0,0
DF,0,0,0,0,0,1,0
VASC,0,0,0,0,0,0,3
