epoch,train_loss,train_acc,lr,val_loss,val_acc,val_balanced_acc,val_macro_recall,val_macro_f1,val_macro_precision,val_mcc,val_cohen_kappa,val_mean_youden_index,val_auc_macro_ovr,val_mean_auc_all_diagnoses,val_mean_ap_all_diagnoses,val_mean_sensitivity,val_mean_specificity,val_mean_ppv,val_mean_npv,val_melanoma_auc80,val_malignant_vs_benign_auc,roc_curve_path,confusion_matrix_path,val_predictions_path,detailed_metrics_path
5,0.6697316089857976,82.70648623923526,0.0009938503261272,0.6582580699821828,0.8652849740932642,0.6202807065176403,0.6202807065176403,0.6442644377912236,0.6773162614328028,0.750817407505143,0.7469745865268254,0.5845098273424512,0.9671399395574676,0.9671399395574676,0.7369686385834832,0.6202807065176403,0.9642291208248108,0.6773162614328028,0.9761089197229644,0.9219269102990034,0.9589688834655276,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\roc_curves\epoch_005_roc.png,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\confusion_matrices\epoch_005_confusion_matrix.png,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\predictions\val_predictions_epoch_05.csv,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\metrics\epoch_005_detailed_metrics.json
10,0.4064835926888983,95.29631356770226,0.0009755527298894,0.5719131286897807,0.8808290155440415,0.7928205650331085,0.7928205650331085,0.7554270886887066,0.7434667462862953,0.7849238257637305,0.7844936401592387,0.7668989642505512,0.9797699980727008,0.9797699980727008,0.7767852962757145,0.7928205650331085,0.9740783992174428,0.7434667462862953,0.9775063577580034,0.9078073089700996,0.954392922513728,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\roc_curves\epoch_010_roc.png,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\confusion_matrices\epoch_010_confusion_matrix.png,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\predictions\val_predictions_epoch_10.csv,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\metrics\epoch_010_detailed_metrics.json
15,0.3129128904694216,99.31871208301284,0.000945557758832,0.5833944162556545,0.8860103626943006,0.835426565304614,0.835426565304614,0.7878408395570868,0.7728494623655914,0.7971234988846307,0.79623764276802,0.8103586687678642,0.978234054747441,0.978234054747441,0.8497425504614142,0.835426565304614,0.9749321034632502,0.7728494623655914,0.975941936737454,0.9155592469545958,0.9517998779743746,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\roc_curves\epoch_015_roc.png,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\confusion_matrices\epoch_015_confusion_matrix.png,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\predictions\val_predictions_epoch_15.csv,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\metrics\epoch_015_detailed_metrics.json
20,0.2912924311954286,99.78534764349044,0.0009046039886902,0.6140872530368944,0.8860103626943006,0.8217321296589589,0.8217321296589589,0.7785936713374523,0.7666946778711485,0.7958232798677006,0.7950574379766386,0.7978136344291771,0.9716994065953036,0.9716994065953036,0.7497561633577438,0.8217321296589589,0.9760815047702182,0.7666946778711485,0.9783461763714256,0.8707087486157253,0.9389871873093352,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\roc_curves\epoch_020_roc.png,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\confusion_matrices\epoch_020_confusion_matrix.png,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\predictions\val_predictions_epoch_20.csv,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\metrics\epoch_020_detailed_metrics.json
25,0.2819939212436382,99.87867475501632,0.0008536998372026,0.6282259639680694,0.8756476683937824,0.8441581067016608,0.8441581067016608,0.7677899273472056,0.74744770658464,0.7808119352602986,0.7800883065090443,0.8174596046303009,0.9681746797705746,0.9681746797705746,0.8358475203794138,0.8441581067016608,0.97330149792864,0.74744770658464,0.9721415989640724,0.8823366555924695,0.9424954240390482,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\roc_curves\epoch_025_roc.png,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\confusion_matrices\epoch_025_confusion_matrix.png,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\predictions\val_predictions_epoch_25.csv,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\metrics\epoch_025_detailed_metrics.json
30,0.2774336873817488,99.95333644423704,0.00079409873352,0.6054837790177894,0.8911917098445595,0.847642427259152,0.847642427259152,0.7625921897510757,0.7431036106750392,0.8061733703386611,0.8047875927174646,0.8234559406129043,0.9735305740038344,0.9735305740038344,0.759161890382023,0.847642427259152,0.9758135133537522,0.7431036106750392,0.9779401528424672,0.8812292358803986,0.9487492373398414,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\roc_curves\epoch_030_roc.png,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\confusion_matrices\epoch_030_confusion_matrix.png,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\predictions\val_predictions_epoch_30.csv,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\metrics\epoch_030_detailed_metrics.json
35,0.2736779395270114,99.9626691496934,0.0007272682546199,0.5933632776527207,0.8808290155440415,0.837266392144441,0.837266392144441,0.764231142793402,0.7474081827210142,0.7887792007252017,0.7881752242794426,0.8126087063996117,0.9717690870952086,0.9717690870952086,0.8346816392680841,0.837266392144441,0.9753423142551708,0.7474081827210142,0.9752040994893496,0.8989479512735327,0.9478340451494814,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\roc_curves\epoch_035_roc.png,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\confusion_matrices\epoch_035_confusion_matrix.png,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\predictions\val_predictions_epoch_35.csv,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\metrics\epoch_035_detailed_metrics.json
40,0.2715055038341561,99.98133457769482,0.0006548539886902,0.599772890614722,0.8808290155440415,0.8286238442161787,0.8286238442161787,0.7577512427466796,0.7435805541728886,0.7891626192505414,0.7881448957189902,0.8039892979331037,0.9748804166861212,0.9748804166861212,0.8409929494911774,0.8286238442161787,0.9753654537169252,0.7435805541728886,0.9752900934502188,0.8900885935769657,0.9464612568639416,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\roc_curves\epoch_040_roc.png,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\confusion_matrices\epoch_040_confusion_matrix.png,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\predictions\val_predictions_epoch_40.csv,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\metrics\epoch_040_detailed_metrics.json
45,0.2697730385917845,99.97200186654224,0.0005786390152875,0.6058492759348815,0.8704663212435233,0.8236609499675701,0.8236609499675701,0.7727225767539317,0.7572001117162408,0.7693897198060948,0.7683851766513057,0.7960356517391508,0.970723715077633,0.970723715077633,0.7634036376937561,0.8236609499675701,0.9723747017715808,0.7572001117162408,0.97346656143802,0.8911960132890366,0.9467663209273948,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\roc_curves\epoch_045_roc.png,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\confusion_matrices\epoch_045_confusion_matrix.png,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\predictions\val_predictions_epoch_45.csv,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\metrics\epoch_045_detailed_metrics.json
50,0.2687053734044632,99.9813345748467,0.0005005,0.5966612810915616,0.8756476683937824,0.8137679683846931,0.8137679683846931,0.7687852506025218,0.7548186813186814,0.7773124324255566,0.7764910248986682,0.7870060886100819,0.9725347032986152,0.9725347032986152,0.7639629300319548,0.8137679683846931,0.9732381202253888,0.7548186813186814,0.975448410145894,0.8911960132890365,0.9472239170225748,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\roc_curves\epoch_050_roc.png,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\confusion_matrices\epoch_050_confusion_matrix.png,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\predictions\val_predictions_epoch_50.csv,experiments\260528-1210_resnet50_diff-ddpm_lr_0.001\metrics\epoch_050_detailed_metrics.json
