,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,13,0,0,3,5,0,0
NV,8,97,3,1,8,4,2
BCC,0,0,11,2,0,2,0
AKIEC,0,0,1,4,3,0,0
BKL,0,0,0,1,21,0,0
DF,0,0,0,0,0,1,0
VASC,0,0,0,0,0,0,3
