,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,12,5,0,0,4,0,0
NV,2,116,0,0,5,0,0
BCC,0,1,9,1,4,0,0
AKIEC,1,1,0,0,6,0,0
BKL,1,5,0,0,16,0,0
DF,0,0,0,0,1,0,0
VASC,0,1,0,0,2,0,0
