,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,16,2,0,1,2,0,0
NV,1,118,1,0,2,0,1
BCC,0,1,10,3,1,0,0
AKIEC,0,2,3,0,3,0,0
BKL,0,4,0,2,16,0,0
DF,0,0,0,1,0,0,0
VASC,0,0,0,0,0,0,3
