,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,7,5,0,0,9,0,0
NV,0,114,0,0,9,0,0
BCC,0,0,8,4,2,0,1
AKIEC,0,1,1,1,5,0,0
BKL,1,5,0,1,15,0,0
DF,0,0,0,1,0,0,0
VASC,0,0,2,0,1,0,0
