,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,11,7,0,0,3,0,0
NV,2,115,0,0,6,0,0
BCC,0,0,10,3,1,0,1
AKIEC,0,2,1,2,3,0,0
BKL,0,13,0,0,9,0,0
DF,0,0,0,0,1,0,0
VASC,0,0,2,0,0,0,1
