,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,13,4,0,0,4,0,0
NV,2,112,2,0,7,0,0
BCC,0,0,11,4,0,0,0
AKIEC,2,1,1,2,2,0,0
BKL,4,9,1,0,8,0,0
DF,0,0,0,1,0,0,0
VASC,0,0,3,0,0,0,0
