,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,9,9,0,1,2,0,0
NV,1,115,0,0,7,0,0
BCC,0,1,8,4,1,0,1
AKIEC,0,4,2,1,1,0,0
BKL,1,6,3,1,11,0,0
DF,0,0,0,1,0,0,0
VASC,0,1,1,0,0,0,1
