,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,10,9,0,0,2,0,0
NV,1,118,0,0,4,0,0
BCC,0,0,8,4,1,0,2
AKIEC,1,2,2,1,2,0,0
BKL,2,9,3,1,5,0,2
DF,0,0,0,1,0,0,0
VASC,0,2,0,0,0,0,1
