,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,12,6,1,0,2,0,0
NV,4,111,1,0,7,0,0
BCC,0,1,6,4,2,0,2
AKIEC,0,1,2,2,2,1,0
BKL,3,6,2,0,10,0,1
DF,0,0,0,1,0,0,0
VASC,0,1,1,0,0,0,1
