epoch,lr,val_loss,val_acc,val_balanced_acc,val_macro_recall,val_macro_f1,val_macro_precision,val_mcc,val_cohen_kappa,val_mean_youden_index,val_auc_macro_ovr,val_mean_auc_all_diagnoses,val_mean_ap_all_diagnoses,val_mean_sensitivity,val_mean_specificity,val_mean_ppv,val_mean_npv,val_melanoma_auc80,val_malignant_vs_benign_auc,roc_curve_path,confusion_matrix_path,val_predictions_path,detailed_metrics_path,train_loss,train_acc
55,0.0004223609847124,0.5290168925270515,91.19170984455958,0.8913499102523492,0.8913499102523492,0.8820453259477649,0.8768587251089902,0.8434544579423225,0.8431719325080063,0.872600959504601,0.979341788246668,0.979341788246668,0.8977500214882712,0.8913499102523492,0.9812510492522516,0.8768587251089902,0.9812156640147308,0.9401993355481728,0.954850518608908,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\roc_curves\epoch_055_roc.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\confusion_matrices\epoch_055_confusion_matrix.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\predictions\val_predictions_epoch_55.csv,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\metrics\epoch_055_detailed_metrics.json,0.4188649880513375,93.73775080521976
60,0.0003461460113097,0.5370168809446029,89.63730569948186,0.8685298731465979,0.8685298731465979,0.8687390726405504,0.8737675647686897,0.8126296977365584,0.8117991223793272,0.8424579360847809,0.9802833526056746,0.9802833526056746,0.9010195559599664,0.8685298731465979,0.9739280629381828,0.8737675647686897,0.9783334298551124,0.9199889258028792,0.9531726662599146,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\roc_curves\epoch_060_roc.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\confusion_matrices\epoch_060_confusion_matrix.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\predictions\val_predictions_epoch_60.csv,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\metrics\epoch_060_detailed_metrics.json,0.4075753526714323,94.5216985420373
65,0.00027373174538,0.5417794168304285,89.11917098445595,0.8646473445253934,0.8646473445253934,0.856535437275555,0.8520735257322218,0.8064085977732252,0.8062156347119293,0.8413890225607091,0.9799016314763934,0.9799016314763934,0.8892872086668502,0.8646473445253934,0.9767416780353158,0.8520735257322218,0.9767144688799788,0.9296788482834994,0.9551555826723612,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\roc_curves\epoch_065_roc.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\confusion_matrices\epoch_065_confusion_matrix.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\predictions\val_predictions_epoch_65.csv,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\metrics\epoch_065_detailed_metrics.json,0.4072018753631172,94.40970601390246
70,0.0002069012664799,0.5447665150301444,89.63730569948186,0.8574754513778905,0.8574754513778905,0.8158546347317231,0.8014235997429274,0.8134104136888469,0.8127758645777756,0.8326905688155557,0.9788368453469244,0.9788368453469244,0.8961357896299277,0.8574754513778905,0.9752151174376652,0.8014235997429274,0.9785006607958228,0.9105758582502768,0.9517998779743746,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\roc_curves\epoch_070_roc.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\confusion_matrices\epoch_070_confusion_matrix.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\predictions\val_predictions_epoch_70.csv,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\metrics\epoch_070_detailed_metrics.json,0.3999776539099422,94.7363509042431
75,0.0001473001627973,0.521667166695076,89.11917098445595,0.8479516418540809,0.8479516418540809,0.8482525839062962,0.8513342910626441,0.8053610319957236,0.8050786322320012,0.8246604662196418,0.9779436900807548,0.9779436900807548,0.891766933429245,0.8479516418540809,0.976708824365561,0.8513342910626441,0.9778626677081296,0.933001107419712,0.951189749847468,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\roc_curves\epoch_075_roc.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\confusion_matrices\epoch_075_confusion_matrix.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\predictions\val_predictions_epoch_75.csv,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\metrics\epoch_075_detailed_metrics.json,0.3903564832670022,95.43630423783922
80,9.639601130971386e-05,0.5456374543936141,89.11917098445595,0.850672730289455,0.850672730289455,0.8013329683021153,0.7796034738431052,0.8057761832763803,0.8054622252087933,0.8275361500398745,0.9794091686723492,0.9794091686723492,0.889665765090048,0.850672730289455,0.9768634197504196,0.7796034738431052,0.9778905926632168,0.9238648947951272,0.947071384990848,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\roc_curves\epoch_080_roc.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\confusion_matrices\epoch_080_confusion_matrix.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\predictions\val_predictions_epoch_80.csv,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\metrics\epoch_080_detailed_metrics.json,0.3938820535981983,95.05366308627929
85,5.544224116791032e-05,0.5190157420894642,90.15544041450777,0.8609386548410939,0.8609386548410939,0.858622623533466,0.8610441049465439,0.8250793372014577,0.8244866701766141,0.8405188603172385,0.976983353747728,0.976983353747728,0.892180945521137,0.8609386548410939,0.9795802054761448,0.8610441049465439,0.9796841867876196,0.9150055370985604,0.9467663209273948,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\roc_curves\epoch_085_roc.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\confusion_matrices\epoch_085_confusion_matrix.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\predictions\val_predictions_epoch_85.csv,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\metrics\epoch_085_detailed_metrics.json,0.3876810046428283,95.42697152953475
90,2.544727011057082e-05,0.5283968658644919,90.15544041450777,0.8612478694360227,0.8612478694360227,0.8596552788214404,0.8613962674039696,0.8248504854891149,0.8244950703551259,0.8408280749121675,0.9762242992176032,0.9762242992176032,0.9001427034839151,0.8612478694360227,0.9795802054761448,0.8613962674039696,0.9796322077056708,0.9235880398671096,0.9450884685784016,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\roc_curves\epoch_090_roc.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\confusion_matrices\epoch_090_confusion_matrix.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\predictions\val_predictions_epoch_90.csv,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\metrics\epoch_090_detailed_metrics.json,0.3830943898152259,95.62295846373914
95,7.14967387272874e-06,0.5298178455372549,90.15544041450777,0.8753325942350333,0.8753325942350333,0.8717501009078213,0.871875402792696,0.823274301476348,0.8229614251919084,0.8525068679382241,0.976680254513017,0.976680254513017,0.8971460318451615,0.8753325942350333,0.9771742737031908,0.871875402792696,0.9793523591666636,0.9194352159468436,0.946156192800488,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\roc_curves\epoch_095_roc.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\confusion_matrices\epoch_095_confusion_matrix.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\predictions\val_predictions_epoch_95.csv,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\metrics\epoch_095_detailed_metrics.json,0.3939258975677828,94.90433971068596
100,1e-06,0.5300242344950147,89.11917098445595,0.8479516418540809,0.8479516418540809,0.8482525839062962,0.8513342910626441,0.8053610319957236,0.8050786322320012,0.8246604662196418,0.9752192837511826,0.9752192837511826,0.8923792673324424,0.8479516418540809,0.976708824365561,0.8513342910626441,0.9778626677081296,0.9158361018826134,0.9452410006101282,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\roc_curves\epoch_100_roc.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\confusion_matrices\epoch_100_confusion_matrix.png,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\predictions\val_predictions_epoch_100.csv,experiments\260523-2028_resnet50_diff-ddpm_lr_0.001\metrics\epoch_100_detailed_metrics.json,0.38883953700263646,95.41763881553405
