,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,0,32,0,5,0,0,0,0,0,1,0
BCC,0,226,0,2,0,0,0,2,2,6,0
BEN_OTH,0,1,0,0,0,0,0,0,1,0,0
BKL,0,31,0,10,0,0,0,5,2,3,0
DF,0,1,0,0,0,0,0,0,2,0,0
INF,0,4,0,1,0,0,0,0,1,1,0
MAL_OTH,0,1,0,0,0,0,0,0,0,0,0
MEL,0,13,0,3,0,0,0,20,21,0,0
NV,0,13,0,2,0,0,0,6,52,0,0
SCCKA,0,25,0,2,0,0,0,0,0,21,0
VASC,0,3,0,0,0,0,0,1,2,0,0
