,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,0,31,0,3,0,0,0,0,0,4,0
BCC,0,219,0,4,0,0,0,3,3,9,0
BEN_OTH,0,0,0,0,0,0,0,0,1,1,0
BKL,0,30,0,4,0,0,0,4,7,6,0
DF,0,1,0,0,0,0,0,0,2,0,0
INF,0,4,0,0,0,0,0,1,1,1,0
MAL_OTH,0,1,0,0,0,0,0,0,0,0,0
MEL,0,13,0,1,0,0,0,17,25,1,0
NV,0,12,0,2,0,0,0,4,55,0,0
SCCKA,0,23,0,2,0,0,0,0,0,23,0
VASC,0,3,0,0,0,0,0,0,3,0,0
