,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,12,5,0,0,4,0,0
NV,2,113,1,1,6,0,0
BCC,1,0,10,4,0,0,0
AKIEC,1,1,0,4,2,0,0
BKL,1,8,0,0,13,0,0
DF,0,0,0,1,0,0,0
VASC,0,0,2,0,0,0,1
