,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,8,5,0,0,8,0,0
NV,1,115,0,0,7,0,0
BCC,0,1,7,6,1,0,0
AKIEC,1,1,1,1,4,0,0
BKL,2,10,0,2,8,0,0
DF,0,0,0,1,0,0,0
VASC,0,0,2,0,0,0,1
