,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,4,9,0,1,6,0,1
NV,1,117,0,0,5,0,0
BCC,0,8,3,1,2,0,1
AKIEC,0,3,0,1,4,0,0
BKL,0,13,0,0,9,0,0
DF,0,1,0,0,0,0,0
VASC,0,3,0,0,0,0,0
