epoch,lr,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_auroc
1,0.001,1.6367436930524586,49.97879560889583,1.360027313232422,55.534351145038165,0.1919717030242699,
2,0.001,1.147465344199293,62.76505506999216,1.2500152160193174,58.58778625954199,0.2180410320367503,
3,0.001,1.0070390318085118,67.34520775792556,1.1587022169855714,60.49618320610687,0.2608385724348926,
4,0.001,0.9074008429930108,70.22900763358778,1.110899258205909,61.641221374045806,0.2735275400293136,
5,0.001,0.8168476947896859,73.26123833757421,1.0872242860211672,62.97709923664122,0.2918126758511493,
6,0.001,0.7387787573311266,75.42408821681883,1.0776669405798875,63.93129770992366,0.2988977997772135,
7,0.001,0.6582619361295045,78.32909245770092,1.0732634690881686,64.8854961832061,0.345776098914471,
8,0.001,0.5809235927207274,81.40373202154856,1.0626176345439358,63.358778625954194,0.3367279393091621,
9,0.001,0.5120678382773234,84.07548772732619,1.086060174548899,64.69465648854961,0.3518080859093379,
10,0.001,0.4468411054269453,86.87446978619991,1.0489903374482656,64.50381679389314,0.3575058594963827,
11,0.001,0.3926365790577436,89.46140790167655,1.1068426589019429,63.93129770992366,0.3401674213428473,
12,0.001,0.3243177925205716,91.963528316844,1.082967636694435,65.64885496183206,0.3667150300194547,
13,0.001,0.2796185873038087,94.12637818314649,1.1192701135882894,64.8854961832061,0.3789720691658894,
14,0.001,0.2375873484102925,95.6955046455571,1.1452287854129122,65.2671755725191,0.3848118449672476,
15,0.001,0.20299115552044805,96.35284136512504,1.1537319635616914,66.41221374045801,0.42705634085684147,
