,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,13,3,0,0,4,0,1
NV,3,117,1,0,2,0,0
BCC,0,0,12,3,0,0,0
AKIEC,1,1,3,2,1,0,0
BKL,2,2,0,2,16,0,0
DF,0,0,0,0,0,1,0
VASC,0,1,0,0,0,0,2
