,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,12,1,0,3,3,2,0
NV,3,105,3,1,7,2,2
BCC,1,0,8,4,0,2,0
AKIEC,0,1,1,4,2,0,0
BKL,0,1,0,2,19,0,0
DF,0,0,0,0,1,0,0
VASC,0,0,0,0,0,0,3
