,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,14,0,0,3,4,0,0
NV,10,93,3,1,10,4,2
BCC,1,0,7,4,0,3,0
AKIEC,0,0,1,4,3,0,0
BKL,0,0,0,2,20,0,0
DF,0,0,0,0,0,1,0
VASC,0,0,0,0,0,0,3
