,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,12,6,0,0,2,1,0
NV,0,121,2,0,0,0,0
BCC,1,0,12,2,0,0,0
AKIEC,0,1,0,5,2,0,0
BKL,3,3,0,0,16,0,0
DF,0,0,0,0,0,1,0
VASC,0,0,0,0,0,0,3
