,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,16,0,1,2,2,0,0
NV,6,102,5,2,5,1,2
BCC,0,0,10,3,0,1,1
AKIEC,2,1,0,2,3,0,0
BKL,4,1,1,0,15,1,0
DF,0,0,0,0,1,0,0
VASC,0,0,0,0,0,0,3
