,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,14,3,0,0,4,0,0
NV,2,118,2,0,1,0,0
BCC,1,0,10,3,0,1,0
AKIEC,0,1,0,6,1,0,0
BKL,1,1,0,2,18,0,0
DF,0,0,0,0,0,1,0
VASC,0,0,0,0,0,0,3
