,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,16,2,0,1,2,0,0
NV,1,119,2,0,1,0,0
BCC,0,0,14,1,0,0,0
AKIEC,1,1,0,5,1,0,0
BKL,2,0,0,1,19,0,0
DF,0,0,0,0,0,1,0
VASC,0,1,0,0,0,0,2
