,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,0,18,1,0,2,0,0
NV,1,120,1,0,1,0,0
BCC,0,8,6,0,1,0,0
AKIEC,0,7,1,0,0,0,0
BKL,1,14,2,0,5,0,0
DF,0,1,0,0,0,0,0
VASC,0,2,1,0,0,0,0
