,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,13,1,0,0,7,0,0
NV,8,102,4,0,9,0,0
BCC,0,0,10,4,1,0,0
AKIEC,2,2,1,1,2,0,0
BKL,6,5,1,0,10,0,0
DF,0,0,0,1,0,0,0
VASC,0,0,3,0,0,0,0
