,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,5,13,0,8,0,0,0,0,1,3,0
BCC,5,225,0,5,0,0,0,4,2,11,0
BEN_OTH,0,1,0,2,0,0,0,1,0,0,0
BKL,4,22,0,17,0,0,0,2,5,5,0
DF,0,3,0,0,1,0,0,1,0,0,0
INF,0,5,0,0,0,0,0,0,0,0,0
MAL_OTH,0,0,0,0,0,0,0,1,0,0,0
MEL,0,7,0,2,1,0,0,22,12,1,0
NV,0,3,0,4,0,0,0,11,57,0,0
SCCKA,1,18,0,3,0,0,0,0,0,25,0
VASC,0,3,0,0,0,0,0,0,1,0,1
