,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,3,15,0,8,0,0,0,0,1,3,0
BCC,3,229,0,6,0,0,0,0,3,11,0
BEN_OTH,0,1,0,2,0,0,0,1,0,0,0
BKL,1,26,0,16,0,0,0,1,6,5,0
DF,0,2,0,1,0,0,0,1,1,0,0
INF,0,4,0,0,0,0,0,0,1,0,0
MAL_OTH,0,0,0,0,0,0,0,1,0,0,0
MEL,0,7,0,3,0,0,0,20,14,1,0
NV,0,5,0,4,0,0,0,8,58,0,0
SCCKA,1,17,0,5,0,0,0,0,0,24,0
VASC,0,3,0,1,0,0,0,0,1,0,0
