,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,6,12,0,8,0,0,0,0,1,3,0
BCC,4,219,0,9,0,0,0,5,2,13,0
BEN_OTH,0,1,0,2,0,0,0,1,0,0,0
BKL,5,21,0,17,0,0,0,1,6,5,0
DF,0,2,0,0,1,0,0,1,0,1,0
INF,0,4,0,0,0,0,0,1,0,0,0
MAL_OTH,0,0,0,0,0,0,0,1,0,0,0
MEL,0,6,0,3,1,0,0,21,13,1,0
NV,0,3,0,5,0,0,0,10,57,0,0
SCCKA,3,16,0,5,0,0,0,0,0,23,0
VASC,0,3,0,0,0,0,0,0,1,0,1
