,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,15,2,1,0,3,0,0
NV,1,115,4,0,3,0,0
BCC,0,0,14,0,0,1,0
AKIEC,0,1,1,5,1,0,0
BKL,3,3,0,0,15,1,0
DF,0,0,0,0,0,1,0
VASC,0,0,0,0,0,0,3
