,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,16,2,1,0,2,0,0
NV,2,109,4,0,6,2,0
BCC,0,2,12,0,1,0,0
AKIEC,0,1,0,5,2,0,0
BKL,4,0,0,0,18,0,0
DF,0,0,0,0,0,1,0
VASC,0,0,0,0,0,0,3
