,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,9,6,0,0,6,0,0
NV,1,116,0,0,6,0,0
BCC,1,0,9,4,1,0,0
AKIEC,1,1,0,1,5,0,0
BKL,5,6,0,1,10,0,0
DF,0,0,0,1,0,0,0
VASC,1,0,2,0,0,0,0
