,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,8,8,0,0,5,0,0
NV,1,114,1,0,7,0,0
BCC,0,0,10,5,0,0,0
AKIEC,1,1,3,0,3,0,0
BKL,4,7,0,1,10,0,0
DF,0,0,0,1,0,0,0
VASC,1,0,2,0,0,0,0
