,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,5,11,0,0,5,0,0
NV,0,116,0,0,7,0,0
BCC,1,0,10,4,0,0,0
AKIEC,0,2,2,1,3,0,0
BKL,5,8,0,1,8,0,0
DF,0,0,0,1,0,0,0
VASC,1,0,2,0,0,0,0
