,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,10,6,2,0,3,0,0
NV,1,114,3,0,5,0,0
BCC,0,0,11,2,1,0,1
AKIEC,0,1,3,2,2,0,0
BKL,2,5,2,2,10,1,0
DF,0,0,0,1,0,0,0
VASC,0,0,2,0,0,0,1
