,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,7,7,1,1,4,1,0
NV,4,110,2,1,4,1,1
BCC,0,0,12,2,1,0,0
AKIEC,0,1,2,3,2,0,0
BKL,0,9,0,2,10,1,0
DF,0,0,0,0,0,1,0
VASC,0,0,0,0,0,0,3
