,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,4,11,0,3,3,0,0
NV,4,110,1,1,6,0,1
BCC,0,0,11,3,1,0,0
AKIEC,0,1,1,4,2,0,0
BKL,0,9,0,2,10,1,0
DF,0,0,0,0,0,1,0
VASC,0,0,0,0,0,0,3
