,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,6,10,0,1,4,0,0
NV,2,115,0,1,4,1,0
BCC,0,0,11,3,1,0,0
AKIEC,0,1,0,5,2,0,0
BKL,0,10,0,3,8,1,0
DF,0,0,0,1,0,0,0
VASC,0,0,0,0,0,0,3
