,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,9,6,0,4,0,0,0,3,0,8,0
BCC,11,223,0,4,0,0,0,3,5,9,1
BEN_OTH,0,2,0,1,0,0,0,1,0,0,0
BKL,3,15,0,23,0,0,0,2,4,5,0
DF,1,0,0,0,0,0,0,0,2,0,0
INF,1,6,0,0,0,0,0,0,0,1,0
MAL_OTH,0,0,0,0,0,0,0,0,0,0,0
MEL,1,8,0,5,0,0,0,19,8,0,0
NV,0,10,0,2,0,0,0,14,45,0,0
SCCKA,1,24,0,3,0,0,0,0,0,27,0
VASC,0,1,0,0,0,0,0,0,2,0,1
