,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,0,26,0,2,0,0,0,1,1,0,0
BCC,0,248,0,0,0,0,0,0,7,1,0
BEN_OTH,0,4,0,0,0,0,0,0,0,0,0
BKL,0,37,0,5,0,0,0,1,8,1,0
DF,0,1,0,0,0,0,0,0,2,0,0
INF,0,8,0,0,0,0,0,0,0,0,0
MAL_OTH,0,0,0,0,0,0,0,0,0,0,0
MEL,0,13,0,4,0,0,0,6,18,0,0
NV,0,14,0,0,0,0,0,1,56,0,0
SCCKA,0,48,0,0,0,0,0,0,0,7,0
VASC,0,1,0,0,0,0,0,0,3,0,0
