,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,3,10,0,8,0,0,0,1,0,8,0
BCC,1,234,0,4,0,0,0,0,6,11,0
BEN_OTH,0,3,0,1,0,0,0,0,0,0,0
BKL,0,18,0,26,0,0,0,1,2,5,0
DF,0,0,0,1,0,0,0,0,2,0,0
INF,0,6,0,1,0,0,0,0,0,1,0
MAL_OTH,0,0,0,0,0,0,0,0,0,0,0
MEL,0,9,0,5,0,0,0,19,8,0,0
NV,0,11,0,3,0,0,0,11,46,0,0
SCCKA,0,24,0,4,0,0,0,0,0,27,0
VASC,0,1,0,0,0,0,0,0,3,0,0
