epoch,lr,train_loss,train_acc,val_loss,val_acc,val_balanced_acc,val_macro_recall,val_macro_f1,val_macro_precision,val_mcc,val_cohen_kappa,val_mean_youden_index,val_auc_macro_ovr,val_mean_auc_all_diagnoses,val_mean_ap_all_diagnoses,val_mean_sensitivity,val_mean_specificity,val_mean_ppv,val_mean_npv,val_melanoma_auc80,val_malignant_vs_benign_auc,roc_curve_path,confusion_matrix_path,val_predictions_path,detailed_metrics_path
55,0.0002229926686067,0.792747505616975,97.75336994279698,1.828202950522072,76.68393782383419,0.5482883840897778,0.5482883840897778,0.503440225129661,0.4832160450387052,0.6018132407364933,0.6003037415435593,0.5035514449493707,0.799969776579876,0.799969776579876,0.5602467250835004,0.5482883840897778,0.9552630608595928,0.4832160450387052,0.9488568038126352,0.8291805094130675,0.8817876754118364,experiments\260521-1710_resnet50_noaug_lr_0.001\roc_curves\epoch_055_roc.png,experiments\260521-1710_resnet50_noaug_lr_0.001\confusion_matrices\epoch_055_confusion_matrix.png,experiments\260521-1710_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_55.csv,experiments\260521-1710_resnet50_noaug_lr_0.001\metrics\epoch_055_detailed_metrics.json
60,0.0001473001627973,0.7939894271920576,97.62356465073508,1.8445714539196825,76.68393782383419,0.5455672956544037,0.5455672956544037,0.5016269476801164,0.4819072606553866,0.6020308598674596,0.600561100124178,0.5009215741956038,0.8025882231749325,0.8025882231749325,0.5631275416301669,0.5455672956544037,0.9553542785412,0.4819072606553866,0.9488907173317964,0.8258582502768549,0.888804148871263,experiments\260521-1710_resnet50_noaug_lr_0.001\roc_curves\epoch_060_roc.png,experiments\260521-1710_resnet50_noaug_lr_0.001\confusion_matrices\epoch_060_confusion_matrix.png,experiments\260521-1710_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_60.csv,experiments\260521-1710_resnet50_noaug_lr_0.001\metrics\epoch_060_detailed_metrics.json
65,8.518092865487885e-05,0.7923847832860675,97.77333999763296,1.8166728983271307,73.05699481865285,0.5261546525483808,0.5261546525483808,0.4634802619158064,0.4440999476713762,0.5510189970207162,0.5478668288507456,0.4746858889281928,0.7977215787616203,0.7977215787616203,0.5706082573901876,0.5261546525483808,0.948531236379812,0.4440999476713762,0.9396571817037062,0.8510520487264673,0.8912446613788895,experiments\260521-1710_resnet50_noaug_lr_0.001\roc_curves\epoch_065_roc.png,experiments\260521-1710_resnet50_noaug_lr_0.001\confusion_matrices\epoch_065_confusion_matrix.png,experiments\260521-1710_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_65.csv,experiments\260521-1710_resnet50_noaug_lr_0.001\metrics\epoch_065_detailed_metrics.json
70,3.9022173510612304e-05,0.7897555998725053,97.9530703898376,1.8136590589513435,75.64766839378238,0.5516067846207219,0.5516067846207219,0.4938462760005944,0.4698919390765155,0.5913643874569195,0.5887846230563489,0.505315397562768,0.802533324916029,0.802533324916029,0.5701927333309547,0.5516067846207219,0.953708612942046,0.4698919390765155,0.9452335707698856,0.8532668881506089,0.8871262965222697,experiments\260521-1710_resnet50_noaug_lr_0.001\roc_curves\epoch_070_roc.png,experiments\260521-1710_resnet50_noaug_lr_0.001\confusion_matrices\epoch_070_confusion_matrix.png,experiments\260521-1710_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_70.csv,experiments\260521-1710_resnet50_noaug_lr_0.001\metrics\epoch_070_detailed_metrics.json
75,1.0597752438586409e-05,0.7944090065929929,98.02296556157584,1.8280272261466384,77.2020725388601,0.5497590388705371,0.5497590388705371,0.504361020568731,0.4833051402379133,0.6036135684468154,0.6030106119396008,0.503291980768972,0.8130584363302138,0.8130584363302138,0.5564204312494524,0.5497590388705371,0.9535329418984348,0.4833051402379133,0.9497890671317376,0.8524363233665558,0.8843807199511897,experiments\260521-1710_resnet50_noaug_lr_0.001\roc_curves\epoch_075_roc.png,experiments\260521-1710_resnet50_noaug_lr_0.001\confusion_matrices\epoch_075_confusion_matrix.png,experiments\260521-1710_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_75.csv,experiments\260521-1710_resnet50_noaug_lr_0.001\metrics\epoch_075_detailed_metrics.json
80,1e-06,0.7977488752013734,97.8831752348589,1.813393720073404,76.16580310880829,0.5471269439039473,0.5471269439039473,0.4890007619371766,0.4644335995267672,0.5949937839337888,0.5932746930547921,0.5015514513118879,0.8088875148861596,0.8088875148861596,0.5633531259399792,0.5471269439039473,0.9544245074079406,0.4644335995267672,0.9473145682963586,0.8504983388704319,0.8895668090298963,experiments\260521-1710_resnet50_noaug_lr_0.001\roc_curves\epoch_080_roc.png,experiments\260521-1710_resnet50_noaug_lr_0.001\confusion_matrices\epoch_080_confusion_matrix.png,experiments\260521-1710_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_80.csv,experiments\260521-1710_resnet50_noaug_lr_0.001\metrics\epoch_080_detailed_metrics.json
85,1.0597752438586402e-05,0.8016088352760433,97.94308536737132,1.832271721696607,76.16580310880829,0.5527682248065523,0.5527682248065523,0.4964427148292282,0.4735927551798751,0.597888908268305,0.5956826669095545,0.5073122596366519,0.7998894027648599,0.7998894027648599,0.5621534152242462,0.5527682248065523,0.9545440348300994,0.4735927551798751,0.9466974006280968,0.8272425249169435,0.8822452715070165,experiments\260521-1710_resnet50_noaug_lr_0.001\roc_curves\epoch_085_roc.png,experiments\260521-1710_resnet50_noaug_lr_0.001\confusion_matrices\epoch_085_confusion_matrix.png,experiments\260521-1710_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_85.csv,experiments\260521-1710_resnet50_noaug_lr_0.001\metrics\epoch_085_detailed_metrics.json
90,3.902217351061222e-05,0.79152517223501,98.0529206190714,1.819646466581315,76.68393782383419,0.5539296649923827,0.5539296649923827,0.4971012060738274,0.4736690328305235,0.6040423363173619,0.6022623191060634,0.5092177474415299,0.807689903831548,0.807689903831548,0.5653862500698236,0.5539296649923827,0.9552880824491472,0.4736690328305235,0.9481619859005386,0.858250276854928,0.8839231238560098,experiments\260521-1710_resnet50_noaug_lr_0.001\roc_curves\epoch_090_roc.png,experiments\260521-1710_resnet50_noaug_lr_0.001\confusion_matrices\epoch_090_confusion_matrix.png,experiments\260521-1710_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_90.csv,experiments\260521-1710_resnet50_noaug_lr_0.001\metrics\epoch_090_detailed_metrics.json
95,8.518092865487868e-05,0.7934928591883427,98.1328007988018,1.8283593450803213,75.64766839378238,0.5459655037181169,0.5459655037181169,0.4895327468830537,0.4669083422842821,0.5890983030251524,0.5868743453112901,0.4996741166601631,0.8027148185410063,0.8027148185410063,0.5659382716492622,0.5459655037181169,0.953708612942046,0.4669083422842821,0.9458750661438338,0.846345514950166,0.886516168395363,experiments\260521-1710_resnet50_noaug_lr_0.001\roc_curves\epoch_095_roc.png,experiments\260521-1710_resnet50_noaug_lr_0.001\confusion_matrices\epoch_095_confusion_matrix.png,experiments\260521-1710_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_95.csv,experiments\260521-1710_resnet50_noaug_lr_0.001\metrics\epoch_095_detailed_metrics.json
100,0.00014730016279731952,0.7933017544965415,98.13280079423102,1.8204138976922306,75.12953367875647,0.5391627826296815,0.5391627826296815,0.48430626604681676,0.4635248836376656,0.5808343913745665,0.5784683987805432,0.49212734795268004,0.8032456847691073,0.8032456847691073,0.5662111866698616,0.5391627826296815,0.9529645653229984,0.4635248836376656,0.9450974422519448,0.815891472868217,0.8817876754118364,experiments\260521-1710_resnet50_noaug_lr_0.001\roc_curves\epoch_100_roc.png,experiments\260521-1710_resnet50_noaug_lr_0.001\confusion_matrices\epoch_100_confusion_matrix.png,experiments\260521-1710_resnet50_noaug_lr_0.001\predictions\val_predictions_epoch_100.csv,experiments\260521-1710_resnet50_noaug_lr_0.001\metrics\epoch_100_detailed_metrics.json
