,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,15,3,0,1,2,0,0
NV,3,116,1,0,3,0,0
BCC,0,2,12,0,1,0,0
AKIEC,0,1,2,1,4,0,0
BKL,1,1,0,2,18,0,0
DF,0,0,0,1,0,0,0
VASC,0,0,0,0,0,0,3
