,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,10,6,0,1,4,0,0
NV,2,114,1,0,6,0,0
BCC,0,0,12,1,1,1,0
AKIEC,1,1,2,1,3,0,0
BKL,1,8,1,1,11,0,0
DF,0,0,0,1,0,0,0
VASC,0,2,1,0,0,0,0
