,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,0,19,0,0,2,0,0
NV,0,122,1,0,0,0,0
BCC,0,13,2,0,0,0,0
AKIEC,0,8,0,0,0,0,0
BKL,0,17,0,0,5,0,0
DF,0,1,0,0,0,0,0
VASC,0,3,0,0,0,0,0
