epoch,lr,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_auroc,roc_curve_path,confusion_matrix_path
1,0.001,1.6502828718343967,49.44868529095702,1.2868975619323382,59.54198473282442,0.1672251311706484,,experiments\20260329_200455_resnet50_pretrained_lr0.001_bs128_seedNone\roc_curves\epoch_001_roc.png,experiments\20260329_200455_resnet50_pretrained_lr0.001_bs128_seedNone\confusion_matrices\epoch_001_confusion_matrix.png
2,0.001,1.1776136467272798,62.4893977850347,1.179404592696037,61.45038167938931,0.2048276514886491,,experiments\20260329_200455_resnet50_pretrained_lr0.001_bs128_seedNone\roc_curves\epoch_002_roc.png,experiments\20260329_200455_resnet50_pretrained_lr0.001_bs128_seedNone\confusion_matrices\epoch_002_confusion_matrix.png
3,0.001,1.0175285432882688,66.15776076895186,1.1303493912893396,64.31297709923665,0.2520786407399856,,experiments\20260329_200455_resnet50_pretrained_lr0.001_bs128_seedNone\roc_curves\epoch_003_roc.png,experiments\20260329_200455_resnet50_pretrained_lr0.001_bs128_seedNone\confusion_matrices\epoch_003_confusion_matrix.png
4,0.001,0.8927081876432016,69.63528409380342,1.077628480569097,64.69465648854961,0.2710678137841945,,experiments\20260329_200455_resnet50_pretrained_lr0.001_bs128_seedNone\roc_curves\epoch_004_roc.png,experiments\20260329_200455_resnet50_pretrained_lr0.001_bs128_seedNone\confusion_matrices\epoch_004_confusion_matrix.png
5,0.001,0.7637791000148622,74.554707392077,1.071208220401793,66.03053435114504,0.3023025006702424,,experiments\20260329_200455_resnet50_pretrained_lr0.001_bs128_seedNone\roc_curves\epoch_005_roc.png,experiments\20260329_200455_resnet50_pretrained_lr0.001_bs128_seedNone\confusion_matrices\epoch_005_confusion_matrix.png
6,0.001,0.6417813271258825,78.68956738472794,1.0784768939928244,67.74809160305344,0.3181778010723615,,experiments\20260329_200455_resnet50_pretrained_lr0.001_bs128_seedNone\roc_curves\epoch_006_roc.png,experiments\20260329_200455_resnet50_pretrained_lr0.001_bs128_seedNone\confusion_matrices\epoch_006_confusion_matrix.png
7,0.001,0.5309347932474203,83.75742156956538,1.0728883806985754,67.17557251908397,0.3212576767966008,,experiments\20260329_200455_resnet50_pretrained_lr0.001_bs128_seedNone\roc_curves\epoch_007_roc.png,experiments\20260329_200455_resnet50_pretrained_lr0.001_bs128_seedNone\confusion_matrices\epoch_007_confusion_matrix.png
8,0.001,0.4348772894132936,87.65903299475646,1.116195714200726,66.79389312977099,0.3170156247349486,,experiments\20260329_200455_resnet50_pretrained_lr0.001_bs128_seedNone\roc_curves\epoch_008_roc.png,experiments\20260329_200455_resnet50_pretrained_lr0.001_bs128_seedNone\confusion_matrices\epoch_008_confusion_matrix.png
9,0.001,0.3568948355895973,90.415606374959,1.1373715364296018,65.64885496183206,0.3228230900140978,,experiments\20260329_200455_resnet50_pretrained_lr0.001_bs128_seedNone\roc_curves\epoch_009_roc.png,experiments\20260329_200455_resnet50_pretrained_lr0.001_bs128_seedNone\confusion_matrices\epoch_009_confusion_matrix.png
10,0.001,0.3014250165001632,92.59966070354744,1.136367027086156,65.45801526717557,0.3549320831626187,,experiments\20260329_200455_resnet50_pretrained_lr0.001_bs128_seedNone\roc_curves\epoch_010_roc.png,experiments\20260329_200455_resnet50_pretrained_lr0.001_bs128_seedNone\confusion_matrices\epoch_010_confusion_matrix.png
