,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,8,7,1,0,5,0,0
NV,1,115,2,0,4,0,1
BCC,0,0,14,0,0,0,1
AKIEC,1,1,3,0,3,0,0
BKL,0,11,7,0,4,0,0
DF,0,0,0,0,0,1,0
VASC,0,0,1,0,0,0,2
