,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,9,9,1,0,2,0,0
NV,3,110,2,0,8,0,0
BCC,0,0,11,3,1,0,0
AKIEC,0,3,1,3,1,0,0
BKL,1,9,1,0,10,1,0
DF,0,0,0,1,0,0,0
VASC,0,0,0,0,0,0,3
