,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,11,4,1,1,4,0,0
NV,3,107,1,0,8,2,2
BCC,0,0,11,2,1,1,0
AKIEC,0,1,0,5,2,0,0
BKL,2,5,0,2,10,1,2
DF,0,0,0,1,0,0,0
VASC,0,0,0,0,0,0,3
