epoch,train_loss,train_fid,train_kid_mean,train_kid_std,val_fid,val_kid_mean,val_kid_std,train_precision,train_recall,val_precision,val_recall,sample_dir,train_fid_json_path,val_fid_json_path,train_per_class_json_path,val_per_class_json_path,train_generated_dir,val_generated_dir,train_per_class_generated_dir,val_per_class_generated_dir,checkpoint_path,diffusers_model_index_copy_path
10,0.0324191659275028,382.7867431640625,0.4568736255168915,0.0168697293847799,415.7144775390625,0.4735617041587829,0.0143475122749805,0.0048828125,0.0,0.0207253886010362,0.0,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\samples\epoch_010,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\fid\epoch_010_train_fid.json,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\fid\epoch_010_val_fid.json,,,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\fid_generated_images\epoch_010_train_generated,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\fid_generated_images\epoch_010_val_generated,,,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\checkpoints\last.pth.tar,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\metadata\diffusers_pipeline_model_index.json
20,0.0291214024867205,135.98345947265625,0.1025547161698341,0.0129147795960307,290.8265075683594,0.2508192658424377,0.0297959577292203,0.5693359375,0.0068359375,0.2072538860103626,0.0207253886010362,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\samples\epoch_020,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\fid\epoch_020_train_fid.json,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\fid\epoch_020_val_fid.json,,,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\fid_generated_images\epoch_020_train_generated,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\fid_generated_images\epoch_020_val_generated,,,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\checkpoints\last.pth.tar,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\metadata\diffusers_pipeline_model_index.json
30,0.024667169953532,119.68517303466795,0.0775933638215065,0.0120249055325984,272.9120788574219,0.2451134026050567,0.0219559054821729,0.4716796875,0.0576171875,0.160621761658031,0.1968911917098445,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\samples\epoch_030,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\fid\epoch_030_train_fid.json,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\fid\epoch_030_val_fid.json,,,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\fid_generated_images\epoch_030_train_generated,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\fid_generated_images\epoch_030_val_generated,,,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\checkpoints\last.pth.tar,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\metadata\diffusers_pipeline_model_index.json
40,0.0258835277830561,117.77684020996094,0.0706205070018768,0.012854223139584,262.13153076171875,0.2413535267114639,0.0288524087518453,0.35546875,0.041015625,0.1813471502590673,0.2797927461139896,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\samples\epoch_040,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\fid\epoch_040_train_fid.json,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\fid\epoch_040_val_fid.json,,,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\fid_generated_images\epoch_040_train_generated,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\fid_generated_images\epoch_040_val_generated,,,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\checkpoints\last.pth.tar,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\metadata\diffusers_pipeline_model_index.json
60,0.024510112043251,114.07688903808594,0.0694512724876403,0.0102622453123331,242.8390350341797,0.2089744210243225,0.0239583496004343,0.3486328125,0.0634765625,0.2746113989637305,0.3160621761658031,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\samples\epoch_060,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\fid\epoch_060_train_fid.json,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\fid\epoch_060_val_fid.json,,,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\fid_generated_images\epoch_060_train_generated,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\fid_generated_images\epoch_060_val_generated,,,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\checkpoints\last.pth.tar,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\metadata\diffusers_pipeline_model_index.json
80,0.0273366382016855,111.15552520751952,0.063492976129055,0.0108068864792585,224.8730010986328,0.1883464753627777,0.0218944605439901,0.341796875,0.0673828125,0.3575129533678756,0.2797927461139896,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\samples\epoch_080,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\fid\epoch_080_train_fid.json,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\fid\epoch_080_val_fid.json,,,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\fid_generated_images\epoch_080_train_generated,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\fid_generated_images\epoch_080_val_generated,,,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\checkpoints\last.pth.tar,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\metadata\diffusers_pipeline_model_index.json
100,0.030630323488046143,109.79911041259766,0.06161069869995117,0.011327214539051056,220.77378845214844,0.1825314164161682,0.017956439405679703,0.2900390625,0.07421875,0.38341968911917096,0.24870466321243523,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\samples\epoch_100,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\fid\epoch_100_train_fid.json,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\fid\epoch_100_val_fid.json,,,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\fid_generated_images\epoch_100_train_generated,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\fid_generated_images\epoch_100_val_generated,,,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\checkpoints\last.pth.tar,experiments\20260416_165303_ddpm_cond_all_all_labels_res256_bs64_seed42\metadata\diffusers_pipeline_model_index.json
