,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,10,7,1,0,3,0,0
NV,1,114,1,0,6,1,0
BCC,0,0,13,2,0,0,0
AKIEC,0,2,0,3,3,0,0
BKL,3,6,1,1,11,0,0
DF,0,0,0,1,0,0,0
VASC,0,0,2,0,0,0,1
