,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,11,5,0,0,5,0,0
NV,0,117,0,0,5,0,1
BCC,0,0,10,4,0,0,1
AKIEC,1,1,0,2,4,0,0
BKL,4,9,0,1,8,0,0
DF,0,0,0,1,0,0,0
VASC,1,1,1,0,0,0,0
