,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,6,12,0,0,3,0,0
NV,1,114,0,0,7,1,0
BCC,0,0,12,2,0,0,1
AKIEC,0,2,0,3,3,0,0
BKL,1,7,0,1,13,0,0
DF,0,0,0,1,0,0,0
VASC,0,0,2,0,0,0,1
