,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,8,7,0,0,6,0,0
NV,2,113,1,0,7,0,0
BCC,0,0,10,4,0,0,1
AKIEC,2,0,3,1,2,0,0
BKL,4,7,0,1,10,0,0
DF,0,0,0,1,0,0,0
VASC,1,0,2,0,0,0,0
