,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,7,7,0,0,7,0,0
NV,2,116,0,0,5,0,0
BCC,1,0,10,4,0,0,0
AKIEC,2,0,3,0,3,0,0
BKL,5,6,0,1,10,0,0
DF,0,0,0,1,0,0,0
VASC,1,0,2,0,0,0,0
