,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,4,11,0,5,0,0,0,2,0,5,0
BCC,3,228,0,14,0,0,0,4,1,13,0
BEN_OTH,0,1,0,0,0,0,0,0,0,0,0
BKL,2,17,0,20,0,0,0,8,5,5,0
DF,0,0,0,1,0,0,0,2,1,0,0
INF,0,2,0,0,0,0,0,1,0,0,0
MAL_OTH,0,0,0,0,0,0,0,0,0,0,0
MEL,1,5,0,0,0,0,0,26,10,1,0
NV,0,6,0,3,0,0,0,11,50,0,0
SCCKA,0,19,0,6,0,0,0,1,0,22,0
VASC,0,3,0,1,0,0,0,0,4,0,0
