,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,0,21,0,3,0,0,0,0,1,2,0
BCC,0,253,0,1,0,0,0,3,1,5,0
BEN_OTH,0,1,0,0,0,0,0,0,0,0,0
BKL,0,27,0,9,0,0,0,8,8,5,0
DF,0,1,0,1,0,0,0,1,1,0,0
INF,0,3,0,0,0,0,0,0,0,0,0
MAL_OTH,0,0,0,0,0,0,0,0,0,0,0
MEL,0,11,0,1,0,0,0,20,10,1,0
NV,0,9,0,0,0,0,0,11,50,0,0
SCCKA,0,33,0,1,0,0,0,0,0,14,0
VASC,0,5,0,0,0,0,0,0,3,0,0
