,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,2,16,0,4,0,0,0,0,1,4,0
BCC,2,242,0,1,0,0,0,3,1,14,0
BEN_OTH,0,1,0,0,0,0,0,0,0,0,0
BKL,1,25,0,6,0,0,0,6,12,7,0
DF,0,0,0,0,0,0,0,2,2,0,0
INF,0,3,0,0,0,0,0,0,0,0,0
MAL_OTH,0,0,0,0,0,0,0,0,0,0,0
MEL,0,8,0,1,0,0,0,18,15,1,0
NV,0,7,0,2,0,0,0,5,56,0,0
SCCKA,0,25,0,2,0,0,0,0,0,21,0
VASC,0,4,0,0,0,0,0,1,3,0,0
